,text,variable
56,"BUILDING STRONGER BRANDS THROUGH ONLINE COMMUNITIEShttp://sloanreview.mit.edu/article/building-stronger-brands-through...This article was talking about how the increase of brand products on line and how they need to build a community with on-line. _Here it talks about the relationship needed between the consumer and the seller. _The internet has a way to capture positive responses from consumers because of the way they can catch their eye. Technology is soooo creative, and more and more people are shopping on line. _I would only think how much companies can benefit from having an online community to help sell their products. _There are certain products that people stick with for quality, an others who are willing to check out the competition to save a buck or two.Online budget areas really catch the eye of the consumer, especially when they can advertise along side another main page like Face book, or the bigger name productions like home depot. _Being able to capture someone's attention with a quick flash of ""onsale"" will help increase their sales....I feel when I can build a relationship with other students through a ""what's on your mind"" talk session is more meaningful, because people are usually letting their hair down and having a fun moment of expression. _A quick story of what is going on is much better than a page of dialog. _Online communities can be creative, serious, fun, energetic, and much more which makes it fun to learn!Thank you...",MKI
57,"BUILDING STRONGER BRANDS THROUGH ONLINE COMMUNITIEShttp://sloanreview.mit.edu/article/building-stronger-brands-through...This article was talking about how the increase of brand products on line and how they need to build a community with on-line. _Here it talks about the relationship needed between the consumer and the seller. _The internet has a way to capture positive responses from consumers because of the way they can catch their eye. Technology is soooo creative, and more and more people are shopping on line. _I would only think how much companies can benefit from having an online community to help sell their products. _There are certain products that people stick with for quality, an others who are willing to check out the competition to save a buck or two.Online budget areas really catch the eye of the consumer, especially when they can advertise along side another main page like Face book, or the bigger name productions like home depot. _Being able to capture someone's attention with a quick flash of ""onsale"" will help increase their sales....I feel when I can build a relationship with other students through a ""what's on your mind"" talk session is more meaningful, because people are usually letting their hair down and having a fun moment of expression. _A quick story of what is going on is much better than a page of dialog. _Online communities can be creative, serious, fun, energetic, and much more which makes it fun to learn!Thank you...",DKI
58,"BUILDING STRONGER BRANDS THROUGH ONLINE COMMUNITIEShttp://sloanreview.mit.edu/article/building-stronger-brands-through...This article was talking about how the increase of brand products on line and how they need to build a community with on-line. _Here it talks about the relationship needed between the consumer and the seller. _The internet has a way to capture positive responses from consumers because of the way they can catch their eye. Technology is soooo creative, and more and more people are shopping on line. _I would only think how much companies can benefit from having an online community to help sell their products. _There are certain products that people stick with for quality, an others who are willing to check out the competition to save a buck or two.Online budget areas really catch the eye of the consumer, especially when they can advertise along side another main page like Face book, or the bigger name productions like home depot. _Being able to capture someone's attention with a quick flash of ""onsale"" will help increase their sales....I feel when I can build a relationship with other students through a ""what's on your mind"" talk session is more meaningful, because people are usually letting their hair down and having a fun moment of expression. _A quick story of what is going on is much better than a page of dialog. _Online communities can be creative, serious, fun, energetic, and much more which makes it fun to learn!Thank you...",DKI
59,"H,You bring up an interesting point about the ""what's on your mind"" talk. _It seems like in an online discussion we can stay so focused on topic that we miss the side conversations you would have in a f-2-f class. _As a teacher, I often build in that side chatter time into my groups simply because I know that their talking about stress of a deadline or if someone caught the latest episode of some TV show matters. _It matters because they are learning about each other, what their interests are and ultimately learning to trust one another. _I think Instructor has built this in with the chat, the blogs, and not completely dictating this discussion. _Thanks for bringing this up - I think it's way more important than we give credit for.",MKC
60,"I firmly believe that community is important in online learning spaces because without a doubt it builds collaboration. Without community (and a strong community that is), you lack engagement, trust, and respect from members of the online learning space, which makes the online space seem void; serving no purpose. Community in an online learning space allows members to create a sense of ownership and connection to others. In the paper, Building a Dynamic Online Learning Community among Adult Learners, it notes evidence of an online community forming from three markers: active participation, the forming of a shared identity, and the establishment of a social network. Without participation, you lack interaction, and therefore lack any opportunities to learn from each other (such through constructivism or active learning [noted in our book]). Our book really sums it up well in the first chapter, ""The development of community as part of the learning process helps create a learning experience that is powerful and rich.""",SKI
61,"I firmly believe that community is important in online learning spaces because without a doubt it builds collaboration. Without community (and a strong community that is), you lack engagement, trust, and respect from members of the online learning space, which makes the online space seem void; serving no purpose. Community in an online learning space allows members to create a sense of ownership and connection to others. In the paper, Building a Dynamic Online Learning Community among Adult Learners, it notes evidence of an online community forming from three markers: active participation, the forming of a shared identity, and the establishment of a social network. Without participation, you lack interaction, and therefore lack any opportunities to learn from each other (such through constructivism or active learning [noted in our book]). Our book really sums it up well in the first chapter, ""The development of community as part of the learning process helps create a learning experience that is powerful and rich.""",MKI
62,"I firmly believe that community is important in online learning spaces because without a doubt it builds collaboration. Without community (and a strong community that is), you lack engagement, trust, and respect from members of the online learning space, which makes the online space seem void; serving no purpose. Community in an online learning space allows members to create a sense of ownership and connection to others. In the paper, Building a Dynamic Online Learning Community among Adult Learners, it notes evidence of an online community forming from three markers: active participation, the forming of a shared identity, and the establishment of a social network. Without participation, you lack interaction, and therefore lack any opportunities to learn from each other (such through constructivism or active learning [noted in our book]). Our book really sums it up well in the first chapter, ""The development of community as part of the learning process helps create a learning experience that is powerful and rich.""",MKI
63,"This is so very true...Reading your post and hearing you say how important community is and how it allows members to create a sense of ownership and connection to others. _I am not an online instructor(yet), but I can only imagine how this type of ongoing dialogue can give good feedback to instructors. _They can learn from us as much as we are learning from each other.This also makes me think of the movie that is out, Her. (I think that is the name) _Where a man talks to his computer all day everyday because he has build a relationship with ""her"". _A bit much for me, but to someone who may live alone, I can see it being beneficial. _Our communication keeps this class interesting..",SKC
64,"This is so very true...Reading your post and hearing you say how important community is and how it allows members to create a sense of ownership and connection to others. _I am not an online instructor(yet), but I can only imagine how this type of ongoing dialogue can give good feedback to instructors. _They can learn from us as much as we are learning from each other.This also makes me think of the movie that is out, Her. (I think that is the name) _Where a man talks to his computer all day everyday because he has build a relationship with ""her"". _A bit much for me, but to someone who may live alone, I can see it being beneficial. _Our communication keeps this class interesting..",MKC
65,"Link to mind map Hi all,I created a mind map of some early thoughts about online communities. It'll be interesting to see how it progresses over the semester. I could not get the embed or other nifty bits of code to work - but I will give it another go tomorrow when I'm on a PC (sometimes this Chromebook has odd compatibility issues with some applications).",DKI
66,"Link to mind map Hi all,I created a mind map of some early thoughts about online communities. It'll be interesting to see how it progresses over the semester. I could not get the embed or other nifty bits of code to work - but I will give it another go tomorrow when I'm on a PC (sometimes this Chromebook has odd compatibility issues with some applications).",DKI
67,G- I was able to see you mind map.  That was really cool.  I really like the four main points that you webbed from.  Active and contribute were the ones that really hit me as so important for a success online community.  Thank you for showing me something new.,MKC
68,"G,I liked that your mind map had the ""lurker"" and ""contributer"" as participants/presence. What does it take to make someone move from lurker to contributor in an online community?",SKC
69,"hmmm...good question, E! I'm not entirely sure how someone would move from lurker to contributer...maybe someone else in the community personally reached out to that person and contacted/talked to him/her - that interaction might prompt that person to then interact in more ways in the community, or with additional community members. Just some thoughts off the top of my head. Does anyone else have ideas with this? I'm curious too..",MKC
70,"I wish I could see your mind map, G! It sounds interesting. One thing that may move a person from lurker to participant is becoming more knowledgeable, either about the community and its norms (because it's someone who has arrived recently and wants to find out what it's like there) or about the subject matter. If I'm coming in cold, I like to suss out a group a bit before I participate. In a class like this, there's a context and expectations established by the facilitator, but in a more open online community, I would probably hang out awhile without talking",DKC
71,"When I first think about community I immediately go to community in a classroom. As a future elementary education teacher this is something we talk about often in our classes. We want to create a community for our students where they can feel safe and comfortable but also where they are able to expand their knowledge as students and as individuals. When I think about an online learning community I think these same values are important. People need to be able to feel safe and comfortable to express their opinions without feeling as though they are going to be attacked if their opinions aren't the same as everyone else's. That being said if everyone is open minded to other's opinions online learning communities are great because you get to work with people and learn about their opinions and views. I like this because most of the time I work with elementary education students and we often have the same views on things, so it is nice to be able to work with people who may have views different than my own. ",DKI
72,"Hi J! - I agree with you and have the same idea about creating a safe and interactive community in the classroom.  Even if the community is build upon interactive ways online I agree that we can use similar strategies in order to be successful.  Keeping an open mind and listening to what others have to say about certain topics is vital and good practice for future jobs, relationships and learning experiences.",MKC
73,"For this discussion post I chose to create a bubble map. _I believe that an online community includes connecting with others, the initial experience and engagement with the participants and benefits to the online community. _Above in the bubble map I decided to break each category up.Online communities are very similar to communities in the classroom. _For example, I am an elementary education major and one of my main goals as a future educator is to create a safe and collaborative learning community in my classroom, from peer to peer and teacher to peers. _I want everyone to feel comfortable sharing and have the opportunity to support one another and team together in order to have a successful learning experience. _Going off of this idea in the classroom - online communities are no different. _Online communities may seem harder to collaborate via the internet (no face to face time) and because of this it is extremely important for all participants to be committed and willing to think outside the box while collaborating online.",DKI
74,"For this discussion post I chose to create a bubble map. _I believe that an online community includes connecting with others, the initial experience and engagement with the participants and benefits to the online community. _Above in the bubble map I decided to break each category up.Online communities are very similar to communities in the classroom. _For example, I am an elementary education major and one of my main goals as a future educator is to create a safe and collaborative learning community in my classroom, from peer to peer and teacher to peers. _I want everyone to feel comfortable sharing and have the opportunity to support one another and team together in order to have a successful learning experience. _Going off of this idea in the classroom - online communities are no different. _Online communities may seem harder to collaborate via the internet (no face to face time) and because of this it is extremely important for all participants to be committed and willing to think outside the box while collaborating online.",DKI
75,What a great way to express your view of an online community. Very creative!,SKC
76,"Hi L, What a great bubble map you created! I definitely agree that it may be harder for collaboration to happen in online classes because there is no face to face time and people must be willing to put in the effort for the class. But I definitely think that collaboration can happen in online classes if everyone is willing to put in the work. ",MKC
77,"An online leaning community is a destination on the Internet where where the needs of members are addressed through individual-to-individual sharing of knowledge and information (Online learning community, Wikipedia). Such a community is aimed at fostering the learning needs of members by using social networking or computer applications such as texts, audio, or video. The literature does not describe a pre-determined look or feel for an online learning community. However, it is important for members to feel a sense of belonging and that their learning needs are addressed by participation.One common example of a learning community is Community of practice, defined as ""a group of people who share a craft and/or a profession"" (Community of practice, Wikipedia). Those who form or belong to a community of practice do so to advance their professional objectives by sharing knowledge related to their particular field or profession.",MKI
78,"An online leaning community is a destination on the Internet where where the needs of members are addressed through individual-to-individual sharing of knowledge and information (Online learning community, Wikipedia). Such a community is aimed at fostering the learning needs of members by using social networking or computer applications such as texts, audio, or video. The literature does not describe a pre-determined look or feel for an online learning community. However, it is important for members to feel a sense of belonging and that their learning needs are addressed by participation.One common example of a learning community is Community of practice, defined as ""a group of people who share a craft and/or a profession"" (Community of practice, Wikipedia). Those who form or belong to a community of practice do so to advance their professional objectives by sharing knowledge related to their particular field or profession.",DKI
79,"N,I like thinking about an online community in terms of a community of practice or professional community. I wonder if online communities take on some of the same social norms as their face-to-face counterpart in professions",SKC
80,"Based on my experience online and on what Iêve read so far, I believe that community is important to the success of online spaces, and especially to the construction of learning online. Social constructivist theory posits that learning is created as a social activity, so it would seem necessary to foster learning through the development of community. And George Siemens?theory of connectivity talks about developing and maintaining connections between people as critical to constructing learning. Many of the papers I read for the Intro to LT class described cooperative and transformative learning as needing a high degree of interaction among students and also between students and teachers to succeed. I would like to read more about the relationship between online community development and transformational learning.When an online community really works, perhaps it can draw its participants back inside again and again in the same way as a student hangout (of the brick-and-mortar variety) might_in the same way as the student room in the East Asian Studies department did when I was an undergrad. Maybe it can become the place people want to be for interesting discussion and encouragement and learning. I would like to learn more about ways to construct online spaces that nourish that sort of inviting environment that feels appealing, supportive, and challenging, so that students develop the intrinsic motivation to log on often_to see our friends and colleagues and learn something new from each other.",MKI
81,"Based on my experience online and on what Iêve read so far, I believe that community is important to the success of online spaces, and especially to the construction of learning online. Social constructivist theory posits that learning is created as a social activity, so it would seem necessary to foster learning through the development of community. And George Siemens?theory of connectivity talks about developing and maintaining connections between people as critical to constructing learning. Many of the papers I read for the Intro to LT class described cooperative and transformative learning as needing a high degree of interaction among students and also between students and teachers to succeed. I would like to read more about the relationship between online community development and transformational learning.When an online community really works, perhaps it can draw its participants back inside again and again in the same way as a student hangout (of the brick-and-mortar variety) might_in the same way as the student room in the East Asian Studies department did when I was an undergrad. Maybe it can become the place people want to be for interesting discussion and encouragement and learning. I would like to learn more about ways to construct online spaces that nourish that sort of inviting environment that feels appealing, supportive, and challenging, so that students develop the intrinsic motivation to log on often_to see our friends and colleagues and learn something new from each other.",DKI
82,"Hi F,I am intrigued by your thoughts/comments about drawing participants back inside again and again. _I think about student hangout spaces and it can often start with students simply being in the same grade level or same class so they have this commonality to start with. _But, I think it's more than that. _I think when an instructor creates space in the beginning of his/her classes to let students get to know one another in meaningful ways it pays off dividends in the end. _This involves creating activities or using instructional strategies that ""force"" students to pay attention to one another. _We are experiencing this strategy right this moment! _I can't say the same for other classes I'm taking. _In fact, after one of my classes last week this one person I left at the same time, rode the elevator down 11 flights and we didn't say a peep to one another. _The instructor hasn't set it up for us to get to know one another and I just didn't have it in me to put myself out there. _I didn't have neither the comfort socially nor the content of the course to lean on to start a conversation. _However, even this minimal interaction we are having in this threaded discussion, I know I'd not only feel comfortable talking to you, I'd likely even feel confident enough to initiate it!",SKC
83,"Hi F,I am intrigued by your thoughts/comments about drawing participants back inside again and again. _I think about student hangout spaces and it can often start with students simply being in the same grade level or same class so they have this commonality to start with. _But, I think it's more than that. _I think when an instructor creates space in the beginning of his/her classes to let students get to know one another in meaningful ways it pays off dividends in the end. _This involves creating activities or using instructional strategies that ""force"" students to pay attention to one another. _We are experiencing this strategy right this moment! _I can't say the same for other classes I'm taking. _In fact, after one of my classes last week this one person I left at the same time, rode the elevator down 11 flights and we didn't say a peep to one another. _The instructor hasn't set it up for us to get to know one another and I just didn't have it in me to put myself out there. _I didn't have neither the comfort socially nor the content of the course to lean on to start a conversation. _However, even this minimal interaction we are having in this threaded discussion, I know I'd not only feel comfortable talking to you, I'd likely even feel confident enough to initiate it!",MKC
84,"I feel the same way. We certainly get a lot said in these forums, and I'm really beginning to get a sense of what my classmates are like. Thanks for your feedback!",MKC
85,"Hi M,I have had the same type of experiences in other classes that you described...our instructor did not create time for get to know you type activities. I remember one class in particular when going through those types of activities would have been particularly helpful, as the topic of the semester-long class was race. It was hard to share personal stories, thoughts, etc about a potentially sensitive topic without creating those relationships ahead of time.",MKC
86,"I definitely agree that an online learning environment has certain advantages in creating _opportunities for connection and learning:- In a physical space, there are restrictions on how many people can interact at one time, whereas in an online environment there aren't really physical limitations for how many people can join. - In an online space both public and private conversations can occur (more or less) simultaneously. In an online space, it is possible to pay attention to the main class discussion and connect with class members individually, in the same span of time, whereas in a f2f class it's rude to have side conversations during a discussion! - An online community affords more breadth and depth in a discussion. There's more breadth because everyone gets to write their response, so we get to hear from everyone's unique perspective. As far as depth, in a spoken conversation, there's a ""flow"", and sometimes things get interrupted, or topics are passed over that could be discussions more deeply. There's more depth with an online conversation board because it's easy to return to past discussions and add more thoughts. Also, when we write text, that makes it much easier to reply exactly to what another person has said. This speaks to what F was saying about an environment that is ""challenging"". In part, an online discussion is challenging because we have so much more breadth and depth in our discussions to contend with.- Online spaces can be appealing - not always in the same ways as physical spaces, but both can be aesthetically appealing. It's usually easier/less expensive to ""remodel"" an online space to better suite its members. Often there's more ""room"" in an online space for members to add their own individuality, like how we can add our personal photos to this group site. I'd like to see us try to do that in a classroom on campus! :-) ",SKI
87,"I definitely agree that an online learning environment has certain advantages in creating _opportunities for connection and learning:- In a physical space, there are restrictions on how many people can interact at one time, whereas in an online environment there aren't really physical limitations for how many people can join. - In an online space both public and private conversations can occur (more or less) simultaneously. In an online space, it is possible to pay attention to the main class discussion and connect with class members individually, in the same span of time, whereas in a f2f class it's rude to have side conversations during a discussion! - An online community affords more breadth and depth in a discussion. There's more breadth because everyone gets to write their response, so we get to hear from everyone's unique perspective. As far as depth, in a spoken conversation, there's a ""flow"", and sometimes things get interrupted, or topics are passed over that could be discussions more deeply. There's more depth with an online conversation board because it's easy to return to past discussions and add more thoughts. Also, when we write text, that makes it much easier to reply exactly to what another person has said. This speaks to what F was saying about an environment that is ""challenging"". In part, an online discussion is challenging because we have so much more breadth and depth in our discussions to contend with.- Online spaces can be appealing - not always in the same ways as physical spaces, but both can be aesthetically appealing. It's usually easier/less expensive to ""remodel"" an online space to better suite its members. Often there's more ""room"" in an online space for members to add their own individuality, like how we can add our personal photos to this group site. I'd like to see us try to do that in a classroom on campus! :-) ",SKI
88,"I definitely agree that an online learning environment has certain advantages in creating _opportunities for connection and learning:- In a physical space, there are restrictions on how many people can interact at one time, whereas in an online environment there aren't really physical limitations for how many people can join. - In an online space both public and private conversations can occur (more or less) simultaneously. In an online space, it is possible to pay attention to the main class discussion and connect with class members individually, in the same span of time, whereas in a f2f class it's rude to have side conversations during a discussion! - An online community affords more breadth and depth in a discussion. There's more breadth because everyone gets to write their response, so we get to hear from everyone's unique perspective. As far as depth, in a spoken conversation, there's a ""flow"", and sometimes things get interrupted, or topics are passed over that could be discussions more deeply. There's more depth with an online conversation board because it's easy to return to past discussions and add more thoughts. Also, when we write text, that makes it much easier to reply exactly to what another person has said. This speaks to what F was saying about an environment that is ""challenging"". In part, an online discussion is challenging because we have so much more breadth and depth in our discussions to contend with.- Online spaces can be appealing - not always in the same ways as physical spaces, but both can be aesthetically appealing. It's usually easier/less expensive to ""remodel"" an online space to better suite its members. Often there's more ""room"" in an online space for members to add their own individuality, like how we can add our personal photos to this group site. I'd like to see us try to do that in a classroom on campus! :-) ",DKI
89,"I definitely agree that an online learning environment has certain advantages in creating _opportunities for connection and learning:- In a physical space, there are restrictions on how many people can interact at one time, whereas in an online environment there aren't really physical limitations for how many people can join. - In an online space both public and private conversations can occur (more or less) simultaneously. In an online space, it is possible to pay attention to the main class discussion and connect with class members individually, in the same span of time, whereas in a f2f class it's rude to have side conversations during a discussion! - An online community affords more breadth and depth in a discussion. There's more breadth because everyone gets to write their response, so we get to hear from everyone's unique perspective. As far as depth, in a spoken conversation, there's a ""flow"", and sometimes things get interrupted, or topics are passed over that could be discussions more deeply. There's more depth with an online conversation board because it's easy to return to past discussions and add more thoughts. Also, when we write text, that makes it much easier to reply exactly to what another person has said. This speaks to what F was saying about an environment that is ""challenging"". In part, an online discussion is challenging because we have so much more breadth and depth in our discussions to contend with.- Online spaces can be appealing - not always in the same ways as physical spaces, but both can be aesthetically appealing. It's usually easier/less expensive to ""remodel"" an online space to better suite its members. Often there's more ""room"" in an online space for members to add their own individuality, like how we can add our personal photos to this group site. I'd like to see us try to do that in a classroom on campus! :-) ",DKI
90,"Yes. I think one of the reasons it can do that is because we communicate in writing, which allows us--especially those of us who are introverted--to consider first, and then respond. We can re-read what has been said and think about the conversation as a whole. We can address a comment to a particular person and take time to acknowledge others' responses to our comments... And it seems to me that we've covered more ground in this thread than we might have in a typical class discussion. So, yes.",MKC
91,"Here's a simple illustration of the cycle of community building, as it exists in my head at the moment. I'm sure my thoughts will continue to evolve.
[insert graphic]
",DKI
92,"F,I like this graphic, especially how you included motivation in it. To me that seems to be an important component of online learning, as we need to keep it together and get all our work done :)",MKC
93,"Great illustration; and as you note, it's simplistic! Is the flow in a particular order?",SKC
94,"C, You're asking if there's a starting point? I didn't want there to be, but I suppose it might start with interaction.",MKC
95,"Hi All,Please forgive me...I went a little crazy in my post! _I promise to keep it more succinct next time.For a number of years I taught online classes both asynchronously and synchronously. _I was never officially trained or educated how to do it, but got lots of advice from colleagues along the way who had been teaching online. _I stumbled a lot and learned a lot. _Some semesters, my online classes were my favorites, students engaged in ways I had never seen in my face-to-face classes. _Other semesters, to be honest, I just couldnêt wait for it to be over. _Reflecting upon my experiences I know that it had a lot to do with building community. _This was the key reason I wanted to take this class. _How do you build effective online communities?In reading the Palloff and Pratt text, there were a few key items that struck me in terms of building community. _Excuse the long quote, but when I read this I couldnêt help but think this is so dang true!There is one important element, however, that sets online distance learning apart from the traditional classroom setting: Key to the learning process are the interactions among students themselves, the interactions between faculty and students, and the collaboration in learning that results from these interactions. _In other words, the formation of a learning community through which knowledge is imparted and meaning is co-created sets the stage for successful learning outcomes. (Palloff and Pratt, 2007, p. 4) I think about the semesters I loathed my online classes and I know they were the semesters that I was frustrated by my students?participation or lack thereof. _I was frustrated that they were not contributing at the level I wanted them to. _So_I became a bit of a tyrant, demanding that they do things in a very specific way. _In a face-to-face class teachers can do that more, we can control the conversations that take place, redirect it in a way we want it to go in a very short amount of time. _It only takes the teacherês questioning or direct comment and everyone hears it all at once and know to move the conversation that way. _This is not true of online threaded discussions because not everyone is there at that precise moment. _But, thatês also the point. _Like the quote says, there is collaboration in the learning, not a teacher dictating how the learning is to take place. _That's what makes it a unique community!Another item from the text that struck me was that successful students in distance education programs are _able to communicate through writing?(Palloff and Pratt, 2007, p. 8). I couldnêt help but think that talkers _win?in f-2-f classes, but writers _win?in online classes. _But, donêt good writers always win? _That is, ultimately in higher education if you are a strong writer no matter f-2-f or online you will come out on top because after all the major assignments always involve writing. _How can we change that dynamic, even just a little, so that more people can win?Finally, I am intrigued by the difference between presence and interaction as described on page 12. _I think about some stories I have read about how people have become actually lonelier or depressed through social media such as Facebook (FB). _In most of these stories the key was that on FB and other social media people are marketing themselves. _That is, they are posting images of themselves on vacation or some other fantastic place because they want to show the world how great their life is. _Itês almost like marketing a product. _If this is true, then wouldnêt that be considered presence, but not true interaction? _As in, the comments below the wonderful picture, _looks like fun,?_you look amazing!? etc.? _It seems to me friends are acknowledging presence not truly interacting. _OK, donêt get me wrong, I am just as guilty of this stuff as anyone_Iêm just contemplating this idea. In looking for an article that discusses community I found an interesting one: _Developing Online Learning Communities?by Mark. A. Maddix in Christian Education Journal (Series 3, Vol. 10, No.1). _I am neither Christian nor religious, but I found this article intriguing because it deals with the idea of larger community values within an individual classroom community. _In Christian universities one of the elements of their teaching is helping young people in the forming and shaping of their faith. _Classes, therefore, are not just about the content (e.g., history, chemistry), but about modeling Christian values and beliefs. _The concern is that in online classes these values and beliefs may not be modeled. _Moreover, some theologians argue that embodiment is key to molding these beliefs and values and physical presence is necessary. _Maddix presents an alternative viewpoint through various research. _Of particular interest to me is John Greshamês research that argues for a _divine pedagogy?or __the pedagogy of the incarnation [that] points to the realm of the student's life experience as the locus of divine saving action?(Maddix, p. 142 and Gresham, 2006, p. 26). _In other words, to use Greshamês language again, _divine pedagogy includes a communal dimension similar to the church, [it] provides active participation of students in the learning process, and is relevant to online education because it is rich in symbols and signs that communicate meaning?(Maddix, p. 142 and Gresham 2006, p. 27-28). _I read such statements as a redefining of community or rather we must not assume that we are a community simply because we share similar values and beliefs. _Rather we must continuously build community and allow the actors to be active, challenged, and provide space for difference and growth. _In other words, we canêt just say our community has these values and beliefs and that you will pick them up simply by your presence. _I like this.In sum, then, an online community really needs to be genuine in its efforts to be a community. _We can't just be together in this space, we need to engage in it.",MKI
96,"Hi All,Please forgive me...I went a little crazy in my post! _I promise to keep it more succinct next time.For a number of years I taught online classes both asynchronously and synchronously. _I was never officially trained or educated how to do it, but got lots of advice from colleagues along the way who had been teaching online. _I stumbled a lot and learned a lot. _Some semesters, my online classes were my favorites, students engaged in ways I had never seen in my face-to-face classes. _Other semesters, to be honest, I just couldnêt wait for it to be over. _Reflecting upon my experiences I know that it had a lot to do with building community. _This was the key reason I wanted to take this class. _How do you build effective online communities?In reading the Palloff and Pratt text, there were a few key items that struck me in terms of building community. _Excuse the long quote, but when I read this I couldnêt help but think this is so dang true!There is one important element, however, that sets online distance learning apart from the traditional classroom setting: Key to the learning process are the interactions among students themselves, the interactions between faculty and students, and the collaboration in learning that results from these interactions. _In other words, the formation of a learning community through which knowledge is imparted and meaning is co-created sets the stage for successful learning outcomes. (Palloff and Pratt, 2007, p. 4) I think about the semesters I loathed my online classes and I know they were the semesters that I was frustrated by my students?participation or lack thereof. _I was frustrated that they were not contributing at the level I wanted them to. _So_I became a bit of a tyrant, demanding that they do things in a very specific way. _In a face-to-face class teachers can do that more, we can control the conversations that take place, redirect it in a way we want it to go in a very short amount of time. _It only takes the teacherês questioning or direct comment and everyone hears it all at once and know to move the conversation that way. _This is not true of online threaded discussions because not everyone is there at that precise moment. _But, thatês also the point. _Like the quote says, there is collaboration in the learning, not a teacher dictating how the learning is to take place. _That's what makes it a unique community!Another item from the text that struck me was that successful students in distance education programs are _able to communicate through writing?(Palloff and Pratt, 2007, p. 8). I couldnêt help but think that talkers _win?in f-2-f classes, but writers _win?in online classes. _But, donêt good writers always win? _That is, ultimately in higher education if you are a strong writer no matter f-2-f or online you will come out on top because after all the major assignments always involve writing. _How can we change that dynamic, even just a little, so that more people can win?Finally, I am intrigued by the difference between presence and interaction as described on page 12. _I think about some stories I have read about how people have become actually lonelier or depressed through social media such as Facebook (FB). _In most of these stories the key was that on FB and other social media people are marketing themselves. _That is, they are posting images of themselves on vacation or some other fantastic place because they want to show the world how great their life is. _Itês almost like marketing a product. _If this is true, then wouldnêt that be considered presence, but not true interaction? _As in, the comments below the wonderful picture, _looks like fun,?_you look amazing!? etc.? _It seems to me friends are acknowledging presence not truly interacting. _OK, donêt get me wrong, I am just as guilty of this stuff as anyone_Iêm just contemplating this idea. In looking for an article that discusses community I found an interesting one: _Developing Online Learning Communities?by Mark. A. Maddix in Christian Education Journal (Series 3, Vol. 10, No.1). _I am neither Christian nor religious, but I found this article intriguing because it deals with the idea of larger community values within an individual classroom community. _In Christian universities one of the elements of their teaching is helping young people in the forming and shaping of their faith. _Classes, therefore, are not just about the content (e.g., history, chemistry), but about modeling Christian values and beliefs. _The concern is that in online classes these values and beliefs may not be modeled. _Moreover, some theologians argue that embodiment is key to molding these beliefs and values and physical presence is necessary. _Maddix presents an alternative viewpoint through various research. _Of particular interest to me is John Greshamês research that argues for a _divine pedagogy?or __the pedagogy of the incarnation [that] points to the realm of the student's life experience as the locus of divine saving action?(Maddix, p. 142 and Gresham, 2006, p. 26). _In other words, to use Greshamês language again, _divine pedagogy includes a communal dimension similar to the church, [it] provides active participation of students in the learning process, and is relevant to online education because it is rich in symbols and signs that communicate meaning?(Maddix, p. 142 and Gresham 2006, p. 27-28). _I read such statements as a redefining of community or rather we must not assume that we are a community simply because we share similar values and beliefs. _Rather we must continuously build community and allow the actors to be active, challenged, and provide space for difference and growth. _In other words, we canêt just say our community has these values and beliefs and that you will pick them up simply by your presence. _I like this.In sum, then, an online community really needs to be genuine in its efforts to be a community. _We can't just be together in this space, we need to engage in it.",DKI
